jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,unemployment-rate,nonfarm-payroll,deaths,rpms
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5.8,131142,0.0,46808799110.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5.6,131411,0.0,46107897278.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,5.6,131694,0.0,45525363009.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5.6,131793,0.0,49856675317.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5.5,131848,0.0,52949238751.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5.4,131937,0.0,50986683070.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,5.4,132093,0.0,40776408784.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,5.5,132447,0.0,45983729421.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,5.4,132503,0.0,43702146771.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,5.4,132624,0.0,45315266126.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5.3,132774,0.0,41633797817.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,5.4,133032,0.0,40243024296.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,5.2,133156,0.0,50814464331.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5.2,133518,0.0,47069967552.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5.1,133690,0.0,49077424957.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,5.0,133942,0.0,52273825681.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,5.0,134296,0.0,55440445598.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,4.9,134498,0.0,52490293711.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,5.0,134566,0.0,43535331427.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0,5.0,134655,0.0,45981014478.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,50,0,5.0,134993,0.0,45170196499.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,4.9,135149,0.0,46229995992.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,4.7,135429,0.0,42974178250.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,4.8,135737,0.0,40927018576.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,4.7,136047,0.0,50709568090.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4.7,136205,0.0,48802946205.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4.6,136244,0.0,49262163333.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,4.6,136325,0.0,52150470923.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,4.7,136520,0.0,54429906475.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,4.7,136694,0.0,51962978202.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,4.5,136843,0.0,43100219955.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,4.4,136852,0.0,47134957927.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,4.5,137063,0.0,45978943385.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,63,0,4.4,137249,0.0,46633378532.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,4.6,137477,0.0,43803162203.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,4.5,137558,0.0,41265603575.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,4.4,137793,0.0,51499266359.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,4.5,137842,0.0,49765603876.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,4.4,137993,0.0,50966364613.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,4.6,138069,0.0,53946375068.0
